Date,Open,High,Low,Close,Volume
"gen 25, 2021","113,44","114,18","112,18","113,26",13.686.391
"gen 26, 2021","113,84","117,09","113,11","117,00",10.694.708
"gen 27, 2021","116,61","119,19","116,17","116,98",12.146.541
"gen 28, 2021","117,29","117,68","114,69","114,70",8.084.051
"gen 29, 2021","114,83","115,86","113,57","113,77",11.825.496
"feb 1, 2021","114,52","115,53","113,41","115,14",6.250.508
"feb 2, 2021","114,01","115,57","113,93","114,08",6.341.883
"feb 3, 2021","113,70","114,43","112,82","113,78",6.715.366
"feb 4, 2021","114,53","115,67","113,54","115,59",4.562.124
"feb 5, 2021","115,57","116,35","115,12","116,33",4.565.727
"feb 8, 2021","117,12","118,42","116,91","118,07",5.887.999
"feb 9, 2021","116,43","117,10","115,62","116,63",4.717.014
"feb 10, 2021","117,51","117,88","115,78","116,76",4.866.765
"feb 11, 2021","116,53","116,73","115,22","115,49",5.381.556
"feb 12, 2021","115,57","115,92","114,71","115,38",3.871.195
"feb 16, 2021","114,76","115,19","114,01","114,69",6.639.790
"feb 17, 2021","113,92","115,15","113,68","114,59",3.975.906
"feb 18, 2021","115,10","115,52","114,33","115,32",5.399.145
"feb 19, 2021","115,34","115,35","113,07","113,65",6.578.741
"feb 22, 2021","113,19","115,69","113,13","115,44",5.879.249
"feb 23, 2021","115,50","115,91","114,43","115,30",4.531.464
"feb 24, 2021","115,38","117,95","115,12","117,69",5.819.983
"feb 25, 2021","117,84","118,77","116,85","116,98",5.691.830
"feb 26, 2021","116,77","116,77","113,55","113,60",9.050.990
"mar 1, 2021","114,95","116,84","114,49","115,33",5.715.767
"mar 2, 2021","115,33","116,43","114,87","114,93",4.524.299
"mar 3, 2021","115,10","117,14","114,60","116,87",7.404.269
"mar 4, 2021","116,53","117,70","113,43","114,72",8.068.492
"mar 5, 2021","115,23","118,20","114,86","117,32",6.949.265
"mar 8, 2021","117,48","121,16","117,37","119,21",7.239.191
"mar 9, 2021","119,78","120,76","118,59","118,61",5.609.029
"mar 10, 2021","119,44","122,49","119,02","122,14",7.247.807
"mar 11, 2021","122,35","122,87","121,10","121,44",5.146.937
"mar 12, 2021","121,49","121,96","120,93","121,89",4.010.100
"mar 15, 2021","122,04","122,98","121,82","122,81",3.421.281
"mar 16, 2021","122,53","122,76","121,63","122,49",4.653.178
"mar 17, 2021","122,70","123,68","121,77","123,24",4.291.351
"mar 18, 2021","123,16","125,12","122,06","124,23",5.835.669
"mar 19, 2021","124,19","124,59","122,77","123,12",9.844.983
"mar 22, 2021","122,74","124,86","122,16","124,70",4.164.914
"mar 23, 2021","124,59","125,66","123,98","124,61",4.356.359
"mar 24, 2021","125,08","126,19","124,72","124,76",4.005.027
"mar 25, 2021","124,49","127,27","123,95","127,10",5.553.966
"mar 26, 2021","127,31","130,36","127,15","130,27",5.567.592
"mar 29, 2021","129,88","130,92","129,43","129,77",4.622.664
"mar 30, 2021","129,77","130,16","128,01","128,68",4.790.366
"mar 31, 2021","128,51","128,67","126,76","127,29",4.945.315
"apr 1, 2021","127,76","127,93","126,34","127,26",4.074.161
"apr 5, 2021","127,65","130,56","127,42","129,84",5.471.616
"apr 6, 2021","129,50","129,56","128,08","128,20",3.620.964
"apr 7, 2021","127,84","128,89","127,78","128,88",2.976.136
"apr 8, 2021","128,54","129,55","128,14","129,06",4.087.228
"apr 9, 2021","128,82","129,65","128,67","129,64",3.023.916
"apr 12, 2021","128,97","129,30","127,85","128,56",3.753.959
"apr 13, 2021","127,04","127,63","124,53","125,30",8.033.530
"apr 14, 2021","125,42","126,83","124,67","126,68",5.868.049
"apr 15, 2021","127,30","127,87","126,29","126,64",3.883.955
"apr 16, 2021","127,04","128,09","126,99","127,60",5.291.756
"apr 19, 2021","127,61","127,82","126,64","127,15",8.198.582
"apr 20, 2021","130,92","133,50","130,57","131,97",15.480.579
"apr 21, 2021","131,87","137,29","131,54","137,11",11.909.005
"apr 22, 2021","137,26","138,25","134,68","134,95",7.101.368
"apr 23, 2021","134,97","137,17","134,63","136,04",4.556.700
"apr 26, 2021","136,03","137,19","135,14","135,22",4.710.763
"apr 27, 2021","135,34","136,17","134,44","135,64",3.884.037
"apr 28, 2021","136,51","136,97","135,73","136,59",3.768.129
"apr 29, 2021","137,67","142,07","136,57","137,77",4.353.880
"apr 30, 2021","137,26","137,38","134,25","135,52",8.872.181
"mag 3, 2021","137,36","139,22","137,11","138,26",5.733.463
"mag 4, 2021","137,94","140,02","137,86","139,22",6.350.479
"mag 5, 2021","139,40","139,45","137,89","138,71",3.622.786
"mag 6, 2021","138,75","141,86","138,67","141,77",7.503.487
"mag 7, 2021","139,38","139,59","138,09","138,94",7.003.467
"mag 10, 2021","139,26","141,73","139,26","139,62",6.983.377
"mag 11, 2021","138,49","138,68","136,49","137,75",7.126.404
"mag 12, 2021","137,39","137,69","134,81","134,96",5.959.579
"mag 13, 2021","135,11","138,40","134,95","137,71",4.598.920
"mag 14, 2021","138,60","139,16","137,51","138,19",2.747.385
"mag 17, 2021","137,96","139,26","137,86","138,60",4.275.172
"mag 18, 2021","138,29","138,79","136,81","137,46",3.824.050
"mag 19, 2021","135,94","136,78","134,60","136,77",4.300.732
"mag 20, 2021","136,70","138,41","135,79","137,43",4.112.690
"mag 21, 2021","137,81","139,17","137,81","138,25",4.033.482
"mag 24, 2021","138,56","138,87","137,72","138,23",3.297.570
