Date,Open,High,Low,Close,Volume
"gen 25, 2021","57,00","58,38","56,82","57,25",9.818.939
"gen 26, 2021","57,09","59,31","56,97","59,17",8.394.659
"gen 27, 2021","58,64","60,55","58,05","58,35",10.645.108
"gen 28, 2021","58,00","58,86","55,94","56,44",11.679.605
"gen 29, 2021","56,22","57,58","55,31","56,51",10.923.293
"feb 1, 2021","56,83","58,70","56,65","58,47",7.476.223
"feb 2, 2021","58,51","58,78","57,10","57,33",8.580.889
"feb 3, 2021","58,10","58,80","57,67","58,04",10.673.271
"feb 4, 2021","63,96","64,85","60,67","61,12",29.410.671
"feb 5, 2021","61,16","62,82","60,24","62,23",12.711.706
"feb 8, 2021","62,60","64,06","62,56","63,84",9.787.868
"feb 9, 2021","63,87","63,91","62,12","62,23",5.036.384
"feb 10, 2021","62,55","63,22","61,76","62,32",4.470.858
"feb 11, 2021","62,60","62,98","61,67","62,31",3.660.146
"feb 12, 2021","62,05","63,19","61,94","63,01",5.621.774
"feb 16, 2021","63,98","64,00","62,82","62,87",5.559.754
"feb 17, 2021","62,58","63,24","62,05","63,05",4.179.424
"feb 18, 2021","62,70","63,35","62,22","62,80",5.963.760
"feb 19, 2021","63,19","63,36","61,87","61,98",5.462.514
"feb 22, 2021","62,10","62,29","60,96","61,56",5.252.920
"feb 23, 2021","60,68","61,73","59,82","61,37",5.826.485
"feb 24, 2021","60,99","61,05","58,83","59,38",8.049.950
"feb 25, 2021","59,40","59,97","56,85","56,98",7.868.324
"feb 26, 2021","57,34","57,66","56,25","56,42",9.013.997
"mar 1, 2021","57,10","58,70","56,53","58,48",6.154.507
"mar 2, 2021","58,64","58,66","56,89","56,99",7.646.674
"mar 3, 2021","56,73","56,95","54,48","54,60",11.055.547
"mar 4, 2021","54,47","54,89","52,46","53,34",9.940.351
"mar 5, 2021","53,88","54,12","51,51","53,76",8.395.102
"mar 8, 2021","53,87","55,19","53,45","53,49",7.622.111
"mar 9, 2021","54,60","56,97","54,32","56,17",8.406.976
"mar 10, 2021","56,78","56,78","54,53","55,34",7.202.558
"mar 11, 2021","55,95","56,58","55,46","56,24",5.887.998
"mar 12, 2021","55,68","56,10","55,04","55,80",5.025.837
"mar 15, 2021","55,85","57,71","55,61","57,67",5.862.094
"mar 16, 2021","57,30","58,19","57,06","57,42",5.873.583
"mar 17, 2021","56,73","59,73","56,72","59,00",6.788.449
"mar 18, 2021","58,32","60,12","58,00","58,90",6.547.623
"mar 19, 2021","59,16","60,03","58,51","59,73",10.317.941
"mar 22, 2021","59,92","60,85","59,56","60,29",6.584.081
"mar 23, 2021","60,40","61,03","60,01","60,31",5.959.428
"mar 24, 2021","60,61","60,90","57,58","57,64",7.141.900
"mar 25, 2021","57,73","58,43","56,98","58,09",5.705.597
"mar 26, 2021","58,15","60,93","58,04","60,83",7.409.597
"mar 29, 2021","60,88","61,18","59,28","59,85",7.090.352
