Date,Open,High,Low,Close,Volume
"gen 25, 2019","32,95","33,76","32,80","33,72",17.029.714
"gen 28, 2019","33,49","34,23","33,40","34,02",22.325.483
"gen 29, 2019","34,37","34,43","33,54","33,69",19.304.039
"gen 30, 2019","33,97","34,32","32,88","34,08",27.338.550
"gen 31, 2019","33,76","33,99","32,77","33,65",24.996.875
"feb 1, 2019","33,75","34,48","33,63","34,31",19.113.790
"feb 4, 2019","34,55","35,20","34,20","35,05",19.798.506
"feb 5, 2019","35,27","35,53","35,07","35,33",13.738.223
"feb 6, 2019","35,12","35,71","35,00","35,48",11.339.952
"feb 7, 2019","35,22","35,39","34,82","35,25",9.211.019
"feb 8, 2019","35,00","35,32","34,91","35,26",10.228.012
"feb 11, 2019","35,48","35,90","35,32","35,59",9.638.437
"feb 12, 2019","35,59","36,27","35,21","36,19",12.684.831
"feb 13, 2019","36,21","36,54","36,16","36,26",7.377.994
"feb 14, 2019","36,04","36,56","35,98","36,32",6.874.462
"feb 15, 2019","36,61","36,83","36,42","36,58",10.273.127
"feb 19, 2019","36,55","37,13","36,46","37,05",12.312.123
"feb 20, 2019","37,02","37,25","36,69","36,74",11.698.695
"feb 21, 2019","36,63","37,13","36,50","36,98",8.151.634
"feb 22, 2019","36,99","37,50","36,97","37,49",6.820.615
"feb 25, 2019","37,75","37,89","37,31","37,34",10.147.800
"feb 26, 2019","37,34","37,55","37,06","37,38",12.788.049
"feb 27, 2019","37,45","38,02","37,28","37,58",10.571.082
"feb 28, 2019","37,50","37,50","37,10","37,15",7.462.772
"mar 1, 2019","38,36","39,14","37,18","37,35",17.271.812
"mar 4, 2019","37,48","37,58","36,70","37,25",11.303.952
"mar 5, 2019","37,20","37,49","37,11","37,12",12.174.375
"mar 6, 2019","37,14","37,54","36,80","36,81",10.885.498
"mar 7, 2019","36,73","36,78","36,08","36,21",14.928.005
"mar 8, 2019","36,02","36,02","35,51","35,89",16.417.026
"mar 11, 2019","35,93","36,34","35,82","36,25",15.306.371
"mar 12, 2019","36,44","36,49","36,11","36,28",10.660.879
"mar 13, 2019","36,30","36,74","36,16","36,46",13.247.760
"mar 14, 2019","36,38","36,62","36,17","36,35",10.561.015
"mar 15, 2019","36,35","36,58","36,02","36,30",24.452.525
"mar 18, 2019","36,31","36,58","36,18","36,27",9.328.101
"mar 19, 2019","36,46","37,20","36,40","36,87",14.686.923
"mar 20, 2019","36,76","36,91","36,57","36,70",11.905.421
"mar 21, 2019","36,74","37,39","36,58","37,20",10.661.050
"mar 22, 2019","37,06","37,44","36,49","36,65",8.449.254
"mar 25, 2019","36,59","36,81","36,28","36,72",5.482.255
"mar 26, 2019","36,92","37,09","36,64","36,90",7.926.711
"mar 27, 2019","36,95","37,09","36,58","36,83",8.223.030
"mar 28, 2019","36,92","37,43","36,62","36,78",9.806.831
"mar 29, 2019","36,95","37,17","36,87","37,14",8.636.432
"apr 1, 2019","37,41","37,77","37,36","37,68",6.664.123
"apr 2, 2019","37,80","38,18","37,62","37,92",7.396.528
"apr 3, 2019","38,18","38,24","37,86","37,99",10.033.512
"apr 4, 2019","37,88","38,18","37,83","38,05",6.372.561
"apr 5, 2019","38,11","38,33","37,74","37,84",7.907.443
"apr 8, 2019","37,79","37,99","37,70","37,81",6.982.766
"apr 9, 2019","37,64","37,86","37,47","37,75",7.140.801
