Date,Open,High,Low,Close,Volume
"gen 25, 2019","126,91","128,41","126,49","127,96",5.708.500
"gen 28, 2019","127,13","128,76","126,64","128,25",5.357.736
"gen 29, 2019","128,27","129,34","127,61","128,31",5.037.129
"gen 30, 2019","127,99","128,98","127,28","128,35",4.500.919
"gen 31, 2019","128,42","128,68","127,74","128,39",4.884.031
"feb 1, 2019","128,92","129,14","127,37","128,09",3.806.047
"feb 4, 2019","128,01","129,14","127,03","129,13",3.966.597
"feb 5, 2019","129,21","129,73","128,87","129,47",5.398.907
"feb 6, 2019","129,16","130,52","129,11","130,21",4.879.670
"feb 7, 2019","127,56","128,44","126,20","127,22",4.379.439
"feb 8, 2019","126,41","127,71","126,26","127,71",3.250.074
"feb 11, 2019","128,27","129,09","127,91","127,98",3.095.069
"feb 12, 2019","129,09","130,09","128,81","129,95",3.317.161
"feb 13, 2019","130,78","131,74","130,29","131,35",4.253.042
"feb 14, 2019","131,02","131,43","130,10","130,36",2.789.839
"feb 15, 2019","131,41","131,99","131,23","131,84",3.844.062
"feb 19, 2019","131,63","132,48","131,20","132,48",3.385.675
"feb 20, 2019","132,54","133,00","131,07","131,81",3.801.979
"feb 21, 2019","131,64","132,15","131,19","131,66",2.937.467
"feb 22, 2019","132,51","133,13","132,22","133,01",3.113.698
"feb 25, 2019","133,72","134,17","133,07","133,21",3.194.161
"feb 26, 2019","133,41","134,19","133,22","133,46",3.060.381
"feb 27, 2019","133,01","133,31","132,20","132,93",2.530.968
"feb 28, 2019","132,55","132,82","131,55","131,94",3.457.788
"mar 1, 2019","133,06","133,76","132,42","132,96",3.030.044
"mar 4, 2019","133,71","133,80","131,02","132,22",3.407.217
"mar 5, 2019","132,17","132,52","131,39","131,70",4.250.650
"mar 6, 2019","131,93","132,18","130,59","130,84",2.768.256
"mar 7, 2019","130,48","130,75","128,60","129,29",4.358.802
"mar 8, 2019","128,19","129,18","127,59","129,03",3.773.722
"mar 11, 2019","129,93","131,55","129,75","131,54",3.939.517
"mar 12, 2019","132,31","133,43","131,68","132,08",3.954.653
"mar 13, 2019","131,86","133,08","131,67","132,35",3.173.179
"mar 14, 2019","132,30","132,71","131,87","132,57",2.738.790
"mar 15, 2019","133,12","134,04","132,99","133,18",7.153.687
"mar 18, 2019","133,56","134,07","132,50","133,92",3.268.510
"mar 19, 2019","134,64","135,35","133,72","134,19",3.482.336
"mar 20, 2019","134,23","134,39","132,75","133,34",3.649.455
"mar 21, 2019","132,86","135,75","132,65","135,10",3.605.420
"mar 22, 2019","134,65","135,10","132,67","133,20",3.877.616
"mar 25, 2019","132,83","133,64","132,15","132,94",2.839.766
"mar 26, 2019","133,66","134,70","133,17","133,93",2.553.708
"mar 27, 2019","134,11","134,19","132,19","133,00",3.098.233
"mar 28, 2019","133,64","134,14","132,86","133,65",2.663.884
"mar 29, 2019","134,20","134,89","133,87","134,77",3.101.454
"apr 1, 2019","135,17","136,98","135,17","136,88",3.984.250
"apr 2, 2019","136,92","137,50","136,21","136,59",2.404.920
"apr 3, 2019","137,21","137,75","136,60","137,19",2.681.645
"apr 4, 2019","137,18","137,68","136,15","136,38",2.771.462
"apr 5, 2019","136,87","137,07","136,07","136,86",2.731.985
"apr 8, 2019","136,61","136,99","136,46","136,96",2.118.228
"apr 9, 2019","136,26","136,54","135,48","135,74",3.038.460
"apr 10, 2019","135,82","137,06","135,61","136,61",2.678.310
"apr 11, 2019","137,35","137,65","136,62","137,33",2.941.985
"apr 12, 2019","137,79","137,96","137,26","137,88",2.898.899
"apr 15, 2019","137,93","137,98","136,85","137,45",3.603.158
"apr 16, 2019","137,93","138,87","137,56","138,63",6.301.671
"apr 17, 2019","131,21","135,61","130,15","132,87",12.525.693
"apr 18, 2019","132,77","134,19","132,48","134,04",4.960.015
