Date,Open,High,Low,Close,Volume
"gen 25, 2021","99,70","99,94","97,82","99,28",1.457.785
"gen 26, 2021","99,85","100,18","99,39","99,71",774.986
"gen 27, 2021","97,78","98,88","96,89","97,00",1.115.191
"gen 28, 2021","96,38","98,42","96,20","97,65",1.439.662
"gen 29, 2021","97,00","97,09","95,09","95,71",859.262
"feb 1, 2021","97,61","98,64","96,94","98,53",1.499.497
"feb 2, 2021","99,50","99,83","99,17","99,24",1.267.735
"feb 3, 2021","108,30","112,29","106,96","111,31",3.026.210
"feb 4, 2021","110,98","111,15","109,01","110,88",1.382.386
"feb 5, 2021","118,03","118,50","115,24","116,71",2.026.451
"feb 8, 2021","114,36","115,64","114,36","115,62",1.067.792
"feb 9, 2021","112,57","113,43","111,99","112,64",1.014.307
"feb 10, 2021","114,50","114,50","112,28","113,31",606.407
"feb 11, 2021","114,02","114,74","113,44","113,97",470.333
"feb 12, 2021","112,81","113,62","112,79","113,53",557.689
"feb 16, 2021","115,85","115,90","114,42","114,97",849.391
"feb 17, 2021","115,31","115,31","113,86","114,92",592.515
"feb 18, 2021","113,25","113,87","112,43","113,52",567.464
"feb 19, 2021","114,01","117,81","113,91","115,54",1.988.637
"feb 22, 2021","113,53","114,91","113,03","113,28",1.096.371
"feb 23, 2021","110,97","112,86","109,54","112,43",1.067.332
"feb 24, 2021","108,32","109,97","108,11","109,60",1.474.819
"feb 25, 2021","108,73","109,09","106,85","107,08",1.337.976
"feb 26, 2021","106,93","106,99","105,37","105,81",1.003.133
"mar 1, 2021","107,33","108,56","106,85","108,08",939.217
"mar 2, 2021","107,18","107,26","105,75","105,77",1.082.500
"mar 3, 2021","106,41","106,57","104,50","104,52",1.052.731
"mar 4, 2021","103,31","104,02","100,73","101,84",1.642.465
"mar 5, 2021","103,61","104,25","101,28","104,14",1.054.068
"mar 8, 2021","102,34","103,00","100,20","100,25",1.242.619
"mar 9, 2021","100,25","101,99","100,09","101,52",1.288.543
"mar 10, 2021","102,47","102,69","100,51","100,99",1.073.362
"mar 11, 2021","102,28","103,65","101,77","103,20",915.763
"mar 12, 2021","103,17","104,59","102,51","104,56",870.15
"mar 15, 2021","104,88","105,44","104,17","105,39",876.748
"mar 16, 2021","106,24","107,25","106,15","106,56",823.878
"mar 17, 2021","105,77","106,30","104,77","105,93",719.069
"mar 18, 2021","105,94","106,13","104,94","105,34",860.698
"mar 19, 2021","105,81","105,81","104,51","105,26",622.65
"mar 22, 2021","106,00","107,42","105,51","106,89",2.082.063
"mar 23, 2021","106,33","106,93","105,01","105,11",761.189
"mar 24, 2021","104,81","104,81","102,31","102,35",1.270.774
"mar 25, 2021","102,36","102,94","101,46","102,65",971.516
"mar 26, 2021","104,16","105,50","104,10","105,42",823.869
"mar 29, 2021","105,90","107,04","105,04","106,60",817.059
"mar 30, 2021","104,33","104,90","103,72","104,51",695.062
