Date,Open,High,Low,Close,Volume
"gen 25, 2019","48,93","49,01","48,66","48,76",782.166
"gen 28, 2019","48,52","48,93","48,20","48,83",743.803
"gen 29, 2019","49,04","49,11","48,63","48,78",674.172
"gen 30, 2019","48,78","49,26","48,31","49,20",922.061
"gen 31, 2019","50,04","50,54","49,69","50,12",1.583.609
"feb 1, 2019","50,00","50,04","45,12","46,15",6.962.784
"feb 4, 2019","45,89","46,42","45,81","46,29",1.977.221
"feb 5, 2019","46,20","46,22","45,76","45,86",1.609.453
"feb 6, 2019","44,49","44,67","43,98","44,22",2.822.507
"feb 7, 2019","42,93","43,15","42,43","43,06",3.049.147
"feb 8, 2019","44,40","44,50","43,67","44,29",2.078.453
"feb 11, 2019","44,51","44,71","44,20","44,59",2.044.926
"feb 12, 2019","44,03","44,49","44,03","44,28",1.154.184
"feb 13, 2019","44,53","45,34","44,48","45,06",1.470.238
"feb 14, 2019","45,00","45,41","44,94","45,12",730.119
"feb 15, 2019","45,55","46,05","45,52","45,79",1.445.430
"feb 19, 2019","46,22","46,49","46,12","46,22",1.662.895
"feb 20, 2019","47,45","47,50","46,65","46,88",2.226.823
"feb 21, 2019","47,85","48,05","47,44","47,64",2.215.006
"feb 22, 2019","47,90","48,15","47,78","47,89",1.189.656
"feb 25, 2019","48,55","48,74","48,39","48,46",996.788
"feb 26, 2019","48,17","48,36","47,98","48,19",1.305.932
"feb 27, 2019","48,36","48,48","48,14","48,43",866.823
"feb 28, 2019","48,21","48,24","47,92","47,99",800.907
"mar 1, 2019","47,82","48,06","47,69","47,89",968.958
"mar 4, 2019","47,78","47,87","47,23","47,62",1.230.885
"mar 5, 2019","47,75","47,90","47,53","47,66",638.327
"mar 6, 2019","47,68","47,81","47,52","47,53",685.404
"mar 7, 2019","47,00","47,00","46,14","46,40",1.360.237
"mar 8, 2019","45,28","46,00","45,19","45,95",1.074.146
"mar 11, 2019","45,30","46,18","45,16","46,10",1.555.630
"mar 12, 2019","46,22","46,65","46,16","46,31",1.290.243
"mar 13, 2019","46,57","46,84","46,46","46,66",920.636
"mar 14, 2019","46,23","46,24","45,95","46,12",778.14
"mar 15, 2019","46,21","46,53","46,05","46,25",847.999
"mar 18, 2019","46,25","46,28","45,98","46,08",632.755
"mar 19, 2019","46,20","46,33","45,49","45,53",2.231.637
"mar 20, 2019","44,04","44,11","43,01","43,28",3.729.295
"mar 21, 2019","43,09","44,12","43,05","44,01",1.392.410
"mar 22, 2019","42,73","42,73","42,02","42,03",1.579.399
"mar 25, 2019","42,10","42,48","41,91","42,15",954.866
"mar 26, 2019","42,75","43,27","42,48","42,73",1.317.789
"mar 27, 2019","42,87","43,06","42,57","42,79",1.696.296
"mar 28, 2019","42,69","42,72","42,16","42,40",978.461
"mar 29, 2019","42,30","42,36","41,98","42,24",908.701
"apr 1, 2019","42,68","43,02","42,63","42,98",1.000.606
"apr 2, 2019","42,31","42,53","42,06","42,17",1.325.789
"apr 3, 2019","42,56","42,65","42,35","42,39",1.010.500
"apr 4, 2019","42,05","42,64","42,03","42,52",2.378.398
"apr 5, 2019","43,25","43,29","43,02","43,07",1.212.175
"apr 8, 2019","43,00","46,92","42,96","46,60",8.331.149
"apr 9, 2019","46,63","46,80","45,81","46,19",4.273.339
"apr 10, 2019","45,86","46,23","45,86","46,08",1.032.112
"apr 11, 2019","46,07","46,42","45,99","46,25",1.157.597
"apr 12, 2019","46,86","47,15","46,75","46,99",984.829
"apr 15, 2019","47,03","47,66","46,93","47,31",1.704.620
"apr 16, 2019","47,89","48,13","47,72","47,95",1.066.281
"apr 17, 2019","48,12","48,28","47,57","47,74",2.349.529
"apr 18, 2019","47,78","48,03","47,57","47,86",1.076.253
"apr 22, 2019","47,61","47,66","47,27","47,61",1.343.645
"apr 23, 2019","47,72","48,41","47,62","48,30",2.081.324
"apr 24, 2019","46,56","46,74","46,39","46,46",2.118.996
"apr 25, 2019","46,83","46,88","46,43","46,66",1.768.903
"apr 26, 2019","48,35","50,92","48,20","50,24",3.853.278
"apr 29, 2019","49,99","50,50","49,71","50,25",1.198.108
"apr 30, 2019","50,13","50,55","50,03","50,37",1.487.169
"mag 1, 2019","50,39","51,87","50,39","51,36",2.184.979
"mag 2, 2019","51,27","51,76","51,05","51,46",1.349.765
"mag 3, 2019","51,63","52,47","51,50","52,25",2.704.982
"mag 6, 2019","51,15","51,50","50,60","51,22",2.228.286
"mag 7, 2019","49,01","49,25","48,61","48,89",3.310.708
"mag 8, 2019","48,65","49,08","48,40","48,75",1.220.429
"mag 9, 2019","48,12","49,11","48,10","48,75",1.903.291
"mag 10, 2019","48,99","49,86","48,40","49,70",2.148.013
"mag 13, 2019","48,50","48,66","47,87","48,03",1.475.696
"mag 14, 2019","48,15","48,54","48,05","48,44",1.146.136
"mag 15, 2019","49,48","50,08","49,03","49,94",2.177.880
"mag 16, 2019","50,92","52,33","50,25","52,00",5.301.559
"mag 17, 2019","53,22","53,61","52,38","52,61",3.318.257
"mag 20, 2019","52,54","52,88","52,01","52,20",2.019.939
"mag 21, 2019","51,23","51,23","50,56","51,03",1.451.257
