Date,Open,High,Low,Close,Volume
"gen 25, 2021","54,50","54,52","49,65","54,29",40.890.094
"gen 26, 2021","54,62","55,52","51,53","51,92",25.677.017
"gen 27, 2021","49,97","50,86","47,15","48,11",33.283.424
"gen 28, 2021","50,12","52,52","49,88","51,58",28.114.698
"gen 29, 2021","50,63","51,49","49,64","50,93",18.743.234
"feb 1, 2021","52,12","52,90","51,35","52,76",15.570.904
"feb 2, 2021","55,11","58,03","54,89","56,46",30.286.801
"feb 3, 2021","57,87","58,13","56,74","57,12",13.519.011
"feb 4, 2021","56,45","57,85","56,11","57,85",13.847.255
"feb 5, 2021","58,16","58,71","57,37","58,58",15.729.172
"feb 8, 2021","59,70","60,11","58,69","59,29",18.410.638
"feb 9, 2021","58,91","61,06","58,62","59,61",23.510.740
"feb 10, 2021","62,00","63,50","60,80","63,18",36.972.931
"feb 11, 2021","63,25","64,05","60,40","60,71",41.363.413
"feb 12, 2021","60,12","60,93","59,32","60,63",14.607.832
"feb 16, 2021","61,02","61,31","59,84","60,52",15.413.075
"feb 17, 2021","60,33","60,95","58,95","60,81",12.669.988
"feb 18, 2021","60,00","60,29","58,23","59,00",15.135.647
"feb 19, 2021","58,36","60,46","58,11","58,39",28.097.000
"feb 22, 2021","57,76","58,10","54,82","55,31",25.565.420
"feb 23, 2021","53,50","56,37","51,89","56,00",23.947.540
"feb 24, 2021","54,95","55,15","53,66","53,91",24.626.966
"feb 25, 2021","54,58","54,60","50,86","51,45",27.049.080
"feb 26, 2021","52,07","52,75","50,61","51,75",16.349.839
"mar 1, 2021","53,67","54,76","53,30","54,40",18.481.137
"mar 2, 2021","55,54","55,62","54,19","54,65",15.199.537
"mar 3, 2021","55,93","57,80","54,65","56,11",28.485.381
"mar 4, 2021","55,75","57,16","51,61","53,07",27.409.574
"mar 5, 2021","54,28","55,83","50,81","55,54",31.576.175
"mar 8, 2021","55,50","56,45","52,89","53,20",19.912.065
"mar 9, 2021","56,00","56,15","54,72","55,25",17.192.937
"mar 10, 2021","57,21","58,90","56,27","57,68",27.997.015
"mar 11, 2021","58,80","59,48","58,22","58,95",17.293.752
"mar 12, 2021","58,97","60,59","57,62","60,35",14.839.307
"mar 15, 2021","60,35","60,53","59,12","60,19",14.993.629
"mar 16, 2021","59,99","61,02","58,38","58,85",12.885.725
"mar 17, 2021","57,07","57,57","55,54","56,36",25.509.926
"mar 18, 2021","56,63","57,48","55,21","55,69",15.742.985
"mar 19, 2021","55,48","57,18","54,34","57,08",17.396.297
"mar 22, 2021","57,25","57,61","55,47","55,69",14.149.412
"mar 23, 2021","55,63","55,63","53,11","53,49",14.513.457
"mar 24, 2021","54,46","54,96","52,54","52,57",13.700.843
"mar 25, 2021","52,00","54,28","51,80","53,89",13.210.740
"mar 26, 2021","54,41","55,25","53,52","54,71",13.528.233
"mar 29, 2021","54,80","54,80","52,85","53,35",9.724.766
"mar 30, 2021","52,99","54,12","52,64","53,46",9.497.186
"mar 31, 2021","53,96","55,18","53,58","54,51",14.760.464
"apr 1, 2021","55,61","57,63","54,81","57,60",18.703.397
"apr 5, 2021","58,10","58,42","56,64","57,40",13.490.249
"apr 6, 2021","57,34","58,99","57,16","58,05",13.579.181
"apr 7, 2021","58,02","58,13","55,95","56,89",12.921.863
"apr 8, 2021","56,65","57,94","56,54","57,83",9.498.507
"apr 9, 2021","57,32","57,88","56,40","57,68",10.228.466
