Date,Open,High,Low,Close,Volume
"mag 10, 2019","42,00","45,00","41,06","41,57",186.322.536
"mag 13, 2019","38,79","39,24","36,08","37,10",79.442.420
"mag 14, 2019","38,31","39,96","36,85","39,96",46.661.147
"mag 15, 2019","39,37","41,88","38,95","41,29",36.086.065
"mag 16, 2019","41,48","44,06","41,25","43,00",38.115.524
"mag 17, 2019","41,98","43,29","41,27","41,91",20.225.687
"mag 20, 2019","41,19","41,68","39,46","41,59",29.222.330
"mag 21, 2019","42,00","42,24","41,25","41,50",10.802.851
"mag 22, 2019","41,05","41,28","40,50","41,25",9.089.469
"mag 23, 2019","40,80","41,09","40,02","40,47",11.119.870
"mag 24, 2019","41,28","41,51","40,50","41,51",8.786.751
"mag 28, 2019","41,70","41,80","40,60","40,95",13.391.605
"mag 29, 2019","40,52","40,71","39,15","39,94",14.060.447
"mag 30, 2019","40,07","40,38","39,50","39,80",26.451.864
"mag 31, 2019","41,15","41,57","39,41","40,41",23.209.848
"giu 3, 2019","40,74","41,85","40,24","41,25",16.605.261
"giu 4, 2019","42,56","42,88","40,70","42,75",23.432.141
"giu 5, 2019","42,87","45,66","42,50","45,00",28.609.604
"giu 6, 2019","45,00","45,75","44,28","44,92",16.403.691
"giu 7, 2019","44,92","45,67","44,13","44,16",12.654.670
"giu 10, 2019","44,02","44,59","42,53","42,61",11.618.701
"giu 11, 2019","43,22","43,65","41,80","42,45",9.095.044
"giu 12, 2019","42,52","42,65","41,71","42,17",5.965.250
"giu 13, 2019","43,05","44,35","42,80","44,31",10.178.935
"giu 14, 2019","44,75","44,80","43,11","43,23",7.902.223
"giu 17, 2019","43,28","44,08","42,93","43,78",6.557.589
"giu 18, 2019","44,30","44,89","43,75","43,86",7.313.602
"giu 19, 2019","44,46","45,50","43,95","44,86",10.331.520
"giu 20, 2019","45,03","45,29","43,51","43,86",9.567.367
"giu 21, 2019","43,85","44,14","43,38","44,00",4.973.987
"giu 24, 2019","44,00","44,07","42,82","43,09",5.985.052
"giu 25, 2019","43,28","43,79","42,44","43,09",5.755.107
"giu 26, 2019","43,25","43,40","42,36","42,50",8.109.056
"giu 27, 2019","43,35","45,30","43,20","45,13",20.155.079
"giu 28, 2019","45,10","47,08","45,08","46,38",28.657.002
"lug 1, 2019","46,98","47,04","44,06","44,27",17.739.998
"lug 2, 2019","44,55","44,68","43,75","44,00",11.881.274
"lug 3, 2019","44,00","44,46","43,79","44,23",3.380.003
"lug 5, 2019","44,31","44,55","43,01","43,53",8.239.452
"lug 8, 2019","43,59","43,85","42,75","42,95",9.304.101
"lug 9, 2019","43,18","44,23","42,98","44,20",5.251.564
"lug 10, 2019","44,48","44,80","43,56","43,70",9.746.505
"lug 11, 2019","44,10","44,29","43,31","43,99",8.050.856
"lug 12, 2019","44,16","44,24","43,39","43,99",8.760.526
"lug 15, 2019","44,20","44,70","43,97","44,53",5.811.160
"lug 16, 2019","44,60","44,98","44,02","44,13",5.613.321
"lug 17, 2019","44,06","44,35","43,52","43,62",5.854.149
"lug 18, 2019","43,50","43,85","43,19","43,71",4.123.615
"lug 19, 2019","43,90","44,09","43,16","43,18",4.021.018
"lug 22, 2019","43,25","43,72","43,01","43,69",3.822.276
"lug 23, 2019","43,75","44,31","43,11","43,36",5.110.090
"lug 24, 2019","43,36","43,87","43,36","43,76",3.775.677
"lug 25, 2019","43,72","43,96","43,21","43,40",4.411.991
"lug 26, 2019","43,42","44,96","43,39","44,52",7.598.828
"lug 29, 2019","45,00","45,63","43,12","43,88",8.652.204
"lug 30, 2019","43,71","43,74","42,49","42,59",7.686.342
"lug 31, 2019","42,60","42,98","41,84","42,14",5.970.774
"ago 1, 2019","42,14","42,54","41,00","41,31",7.349.740
"ago 2, 2019","41,03","41,06","39,95","40,40",8.225.677
"ago 5, 2019","39,35","39,42","38,43","39,05",9.799.269
"ago 6, 2019","39,68","40,81","38,36","39,15",8.570.273
"ago 7, 2019","39,06","39,99","38,32","39,70",8.896.039
"ago 8, 2019","41,98","43,00","41,25","42,97",29.610.463
"ago 9, 2019","39,56","40,68","38,71","40,05",35.138.775
"ago 12, 2019","39,83","39,95","37,00","37,00",20.907.892
"ago 13, 2019","37,00","37,46","36,12","36,45",19.031.422
"ago 14, 2019","36,00","36,30","33,36","33,96",24.481.636
"ago 15, 2019","34,52","34,55","32,92","33,22",13.265.793
"ago 16, 2019","33,46","35,48","33,40","35,23",13.883.152
"ago 19, 2019","35,53","35,80","34,37","34,61",10.853.126
"ago 20, 2019","34,48","36,07","34,39","35,29",10.766.387
"ago 21, 2019","35,50","35,83","34,75","34,91",7.949.074
"ago 22, 2019","34,80","34,91","33,52","34,00",8.516.485
"ago 23, 2019","33,65","34,23","33,12","33,43",8.186.706
"ago 26, 2019","33,67","33,83","33,06","33,31",5.669.714
"ago 27, 2019","33,69","34,24","32,98","33,11",6.596.129
"ago 28, 2019","32,56","33,05","32,26","32,59",6.261.038
"ago 29, 2019","32,90","33,30","32,60","32,76",5.811.175
"ago 30, 2019","33,00","33,13","32,04","32,57",6.636.847
"set 3, 2019","32,10","32,53","30,67","30,70",12.194.312
"set 4, 2019","30,91","32,36","30,85","31,99",10.367.329
"set 5, 2019","32,33","33,03","32,25","32,51",7.938.083
"set 6, 2019","32,71","32,74","31,41","31,86",7.035.967
"set 9, 2019","32,05","32,39","31,46","32,24",7.448.418
"set 10, 2019","32,00","33,74","31,65","33,51",10.817.138
"set 11, 2019","33,38","35,14","33,02","34,00",14.715.771
"set 12, 2019","34,14","34,49","33,33","34,07",7.734.849
"set 13, 2019","34,25","34,44","32,94","33,25",9.428.551
"set 16, 2019","33,60","34,80","33,47","34,43",7.942.590
"set 17, 2019","34,75","34,75","33,55","34,29",5.588.258
"set 18, 2019","34,35","34,89","33,75","34,26",6.624.433
"set 19, 2019","34,20","34,64","33,68","33,82",6.884.274
"set 20, 2019","33,98","34,22","32,50","32,60",12.026.857
"set 23, 2019","32,52","33,01","32,06","33,00",5.526.412
"set 24, 2019","33,00","33,15","31,01","31,30",10.625.791
"set 25, 2019","31,27","31,72","30,76","31,68",7.879.880
"set 26, 2019","31,72","32,13","31,13","31,57",6.062.457
"set 27, 2019","31,71","31,90","30,13","30,29",11.875.115
"set 30, 2019","30,40","30,74","30,17","30,47",5.021.190
"ott 1, 2019","30,37","30,51","28,65","29,15",13.448.055
"ott 2, 2019","28,67","29,55","28,31","29,00",9.371.270
"ott 3, 2019","28,97","29,88","28,52","29,72",9.461.973
"ott 4, 2019","29,90","30,18","28,90","29,67",8.633.938
"ott 7, 2019","30,60","30,75","29,83","30,37",10.151.451
"ott 8, 2019","30,01","30,15","29,17","29,28",7.806.911
"ott 9, 2019","29,62","29,62","28,81","29,07",7.162.775
"ott 10, 2019","29,21","29,28","28,58","28,87",7.797.845
"ott 11, 2019","28,95","30,40","28,94","30,13",10.298.616
"ott 14, 2019","30,22","31,54","29,82","31,12",7.966.943
"ott 15, 2019","31,20","32,17","31,20","32,00",7.904.528
"ott 16, 2019","31,80","32,38","31,44","31,87",7.802.690
"ott 17, 2019","31,80","32,93","31,45","32,62",7.239.293
"ott 18, 2019","32,55","32,66","31,27","32,06",8.074.207
"ott 21, 2019","31,95","32,28","31,19","31,41",7.232.322
"ott 22, 2019","31,41","33,89","30,22","32,53",19.244.283
"ott 23, 2019","32,87","33,27","32,17","33,05",6.843.199
"ott 24, 2019","33,00","33,42","32,51","33,28",6.789.619
"ott 25, 2019","33,20","33,48","32,61","32,71",8.106.804
"ott 28, 2019","32,90","33,35","32,50","33,22",8.073.107
"ott 29, 2019","32,37","32,92","31,81","32,42",9.357.355
"ott 30, 2019","32,51","33,80","32,11","33,75",10.861.056
"ott 31, 2019","33,23","33,36","31,26","31,50",16.130.023
